Energy [eV]	Cross Section	Asymmetry Parameter
10.0	60.49	1.23
15.0	15.73	1.714
16.71	10.42	1.781
20.0	5.22	1.837
21.22	4.162	1.838
25.0	2.241	1.7830000000000001
26.86	1.7180000000000002	1.7280000000000002
30.0	1.149	1.599
35.0	0.6693	1.321
40.0	0.4305	0.9868
40.81	0.4041	0.9307
45.0	0.3013	0.6446
50.0	0.22699999999999998	0.3419
55.0	0.182	0.1129
60.0	0.1535	-0.031219999999999998
65.0	0.1346	-0.09901
70.0	0.1212	-0.109
75.0	0.1114	-0.08017
80.0	0.1037	-0.02793
85.0	0.09748	0.03714
90.0	0.09225	0.1083
95.0	0.08776	0.1813
100.0	0.08382	0.254
105.0	0.08032	0.3249
110.0	0.07716	0.3933
115.0	0.0743	0.4587
120.0	0.07168	0.5209
125.0	0.06927	0.5797
130.0	0.06704	0.6352
132.3	0.06606000000000001	0.6596
135.0	0.06496	0.6873
140.0	0.06301	0.7362
145.0	0.061189999999999994	0.7818
150.0	0.05948	0.8245
151.4	0.05901	0.836
155.0	0.05786	0.8644
160.0	0.05633	0.9016
165.0	0.05488	0.9365
170.0	0.0535	0.9691
175.0	0.05219	0.9998
180.0	0.05094	1.0290000000000001
185.0	0.04975	1.056
190.0	0.0486	1.082
195.0	0.0475	1.1059999999999999
200.0	0.046439999999999995	1.129
205.0	0.04541	1.151
210.0	0.04442	1.172
215.0	0.04345	1.192
220.0	0.04252	1.2109999999999999
225.0	0.04161	1.229
230.0	0.04073	1.246
235.0	0.03986	1.262
240.0	0.03903	1.278
245.0	0.03821	1.2930000000000001
250.0	0.03741	1.307
255.0	0.03664	1.321
260.0	0.03589	1.334
265.0	0.03515	1.3459999999999999
270.0	0.03444	1.358
275.0	0.03375	1.37
280.0	0.03308	1.38
285.0	0.03243	1.391
290.0	0.03179	1.401
295.0	0.03117	1.41
300.0	0.03058	1.419
305.0	0.02999	1.4280000000000002
320.0	0.02835	1.452
340.0	0.02635	1.4809999999999999
360.0	0.02456	1.506
380.0	0.02295	1.528
400.0	0.021490000000000002	1.548
420.0	0.02018	1.565
440.0	0.01899	1.58
460.0	0.0179	1.5930000000000002
480.0	0.016909999999999998	1.605
500.0	0.01598	1.6159999999999999
520.0	0.015130000000000001	1.625
540.0	0.01434	1.6340000000000001
560.0	0.0136	1.642
580.0	0.01291	1.649
600.0	0.01227	1.655
620.0	0.01168	1.661
640.0	0.01113	1.666
660.0	0.01061	1.67
680.0	0.01013	1.6740000000000002
700.0	0.00968	1.6780000000000002
720.0	0.009258	1.682
740.0	0.008863	1.685
760.0	0.008493	1.6880000000000002
780.0	0.008145999999999999	1.69
800.0	0.007819	1.692
850.0	0.0070810000000000005	1.6969999999999998
900.0	0.006437999999999999	1.7
950.0	0.005873	1.702
1000.0	0.005375	1.704
1041.0	0.005011	1.704
1050.0	0.004936	1.704
1100.0	0.004545	1.704
1150.0	0.0041979999999999995	1.704
1200.0	0.003889	1.703
1250.0	0.003611	1.702
1253.6	0.003592	1.702
1300.0	0.003361	1.7009999999999998
1350.0	0.003135	1.699
1400.0	0.002928	1.6969999999999998
1450.0	0.002741	1.695
1486.6	0.002614	1.693
1500.0	0.00257	1.692
