Energy [eV]	Cross Section	Asymmetry Parameter
21.2	0.1275	2
25.0	0.2112	2
26.8	0.2393	2
30.0	0.2736	2
35.0	0.2975	2
40.0	0.2987	2
40.8	0.2975	2
45.0	0.2874	2
50.0	0.2701	2
55.0	0.2508	2
60.0	0.2315	2
65.0	0.2133	2
70.0	0.1966	2
75.0	0.1817	2
80.0	0.1683	2
85.0	0.1564	2
90.0	0.1457	2
95.0	0.1361	2
100.0	0.1274	2
105.0	0.1195	2
110.0	0.1124	2
115.0	0.1058	2
120.0	0.09984	2
125.0	0.09435	2
130.0	0.08931	2
132.3	0.08713	2
135.0	0.08467999999999999	2
140.0	0.08042	2
145.0	0.0765	2
150.0	0.07289	2
151.4	0.07193	2
155.0	0.06957	2
160.0	0.06649	2
165.0	0.06365	2
170.0	0.06101	2
175.0	0.05856	2
180.0	0.05627000000000001	2
185.0	0.05413	2
190.0	0.05212000000000001	2
195.0	0.050230000000000004	2
200.0	0.04845	2
205.0	0.04677	2
210.0	0.04518	2
215.0	0.04367	2
220.0	0.042230000000000004	2
225.0	0.04086	2
230.0	0.039560000000000005	2
235.0	0.03832	2
240.0	0.03714	2
245.0	0.03601	2
250.0	0.03494	2
255.0	0.03391	2
260.0	0.03293	2
265.0	0.03199	2
270.0	0.0311	2
275.0	0.030239999999999996	2
280.0	0.029419999999999998	2
285.0	0.02864	2
290.0	0.027880000000000002	2
295.0	0.027160000000000004	2
300.0	0.02647	2
305.0	0.025810000000000003	2
310.0	0.025169999999999998	2
315.0	0.02456	2
320.0	0.023969999999999998	2
340.0	0.02181	2
360.0	0.01994	2
380.0	0.01831	2
400.0	0.016880000000000003	2
420.0	0.015619999999999998	2
440.0	0.014509999999999999	2
460.0	0.01351	2
480.0	0.012620000000000001	2
500.0	0.01181	2
520.0	0.01108	2
540.0	0.010409999999999999	2
560.0	0.009798999999999999	2
580.0	0.009241	2
600.0	0.008731000000000001	2
620.0	0.008262	2
640.0	0.007831	2
660.0	0.0074329999999999995	2
680.0	0.007064	2
700.0	0.006722	2
720.0	0.006405	2
740.0	0.00611	2
760.0	0.005836	2
780.0	0.005581	2
800.0	0.005343	2
850.0	0.00481	2
900.0	0.004354	2
950.0	0.003959000000000001	2
1000.0	0.0036149999999999997	2
1041.0	0.0033659999999999996	2
1050.0	0.003315	2
1100.0	0.00305	2
1150.0	0.002817	2
1200.0	0.0026100000000000003	2
1250.0	0.002425	2
1253.6	0.0024129999999999998	2
1300.0	0.0022600000000000003	2
1350.0	0.0021100000000000003	2
1400.0	0.001975	2
1450.0	0.001853	2
1486.6	0.001771	2
1500.0	0.0017420000000000003	2
