Energy [eV]	Cross Section	Asymmetry Parameter
70.0	0.4663	2
75.0	0.4507	2
80.0	0.4414	2
85.0	0.4346	2
90.0	0.4282	2
95.0	0.42100000000000004	2
100.0	0.4123	2
105.0	0.402	2
110.0	0.3903	2
115.0	0.3777	2
120.0	0.3645	2
125.0	0.3514	2
130.0	0.3384	2
132.3	0.3326	2
135.0	0.3259	2
140.0	0.3139	2
145.0	0.3025	2
150.0	0.2916	2
151.4	0.2887	2
155.0	0.2814	2
160.0	0.2716	2
165.0	0.2622	2
170.0	0.2533	2
175.0	0.2448	2
180.0	0.2365	2
185.0	0.2286	2
190.0	0.2211	2
195.0	0.2138	2
200.0	0.2068	2
205.0	0.2001	2
210.0	0.1938	2
215.0	0.1877	2
220.0	0.1818	2
225.0	0.1763	2
230.0	0.171	2
235.0	0.1659	2
240.0	0.161	2
245.0	0.1564	2
250.0	0.152	2
255.0	0.1477	2
260.0	0.1436	2
265.0	0.1397	2
270.0	0.1359	2
275.0	0.1323	2
280.0	0.1288	2
285.0	0.1254	2
290.0	0.1222	2
295.0	0.11900000000000001	2
300.0	0.11599999999999999	2
305.0	0.1131	2
310.0	0.1103	2
315.0	0.1076	2
320.0	0.105	2
325.0	0.1025	2
330.0	0.1	2
335.0	0.09767999999999999	2
340.0	0.09542	2
345.0	0.09324	2
350.0	0.09112999999999999	2
355.0	0.08909	2
360.0	0.08712	2
365.0	0.08521000000000001	2
380.0	0.07985	2
400.0	0.07343	2
420.0	0.06773	2
440.0	0.06265	2
460.0	0.05811	2
480.0	0.05404	2
500.0	0.05039	2
520.0	0.047080000000000004	2
540.0	0.04409	2
560.0	0.04136	2
580.0	0.03887	2
600.0	0.03659	2
620.0	0.0345	2
640.0	0.03259	2
660.0	0.03083	2
680.0	0.0292	2
700.0	0.02769	2
720.0	0.0263	2
740.0	0.025	2
760.0	0.0238	2
780.0	0.022680000000000002	2
800.0	0.02163	2
850.0	0.0193	2
900.0	0.01732	2
950.0	0.015619999999999998	2
1000.0	0.01415	2
1041.0	0.0131	2
1050.0	0.01288	2
1100.0	0.01176	2
1150.0	0.01078	2
1200.0	0.009915	2
1250.0	0.009143	2
1253.6	0.009091	2
1300.0	0.008456	2
1350.0	0.007842	2
1400.0	0.007287999999999999	2
1450.0	0.006789	2
1486.6	0.006455	2
1500.0	0.006339	2
