Energy [eV]	Cross Section	Asymmetry Parameter
10.0	2.608	1.021
10.2	2.468	1.036
15.0	0.7977	1.36
16.7	0.5720000000000001	1.4480000000000002
20.0	0.3225	1.577
21.2	0.2671	1.61
25.0	0.1558	1.671
26.8	0.1239	1.6769999999999998
30.0	0.08542999999999999	1.656
35.0	0.0516	1.545
40.0	0.03368	1.357
40.8	0.03165	1.3219999999999998
45.0	0.023469999999999998	1.1159999999999999
50.0	0.01733	0.8495
55.0	0.01348	0.5875
60.0	0.01098	0.3561
65.0	0.009304	0.172
70.0	0.008140000000000001	0.04059
75.0	0.007306	-0.041589999999999995
80.0	0.006686	-0.08288
85.0	0.006208	-0.09294
90.0	0.005827000000000001	-0.08062000000000001
95.0	0.005515	-0.05297
100.0	0.005251	-0.01529
105.0	0.005025	0.02872
110.0	0.0048259999999999996	0.07649
115.0	0.004651	0.1262
120.0	0.004493	0.1766
125.0	0.004351	0.22699999999999998
130.0	0.004221	0.2766
132.3	0.0041659999999999996	0.2991
135.0	0.004103	0.3252
140.0	0.003994	0.3723
145.0	0.003892	0.4178
150.0	0.0037979999999999997	0.4617
151.4	0.003773	0.4736
155.0	0.00371	0.5037
160.0	0.0036270000000000004	0.5439
165.0	0.0035479999999999995	0.5822
170.0	0.003474	0.6188
175.0	0.003403	0.6538
180.0	0.0033350000000000003	0.6871
185.0	0.0032700000000000003	0.7189
190.0	0.003207	0.7492
195.0	0.003146	0.7783
200.0	0.003088	0.8059999999999999
205.0	0.003031	0.8326
210.0	0.002975	0.8582
215.0	0.002921	0.8826
220.0	0.002868	0.9061
225.0	0.002817	0.9287
230.0	0.0027660000000000002	0.9503
235.0	0.002716	0.9712
240.0	0.002667	0.9912
245.0	0.0026190000000000002	1.01
250.0	0.002572	1.0290000000000001
255.0	0.002526	1.047
260.0	0.0024809999999999997	1.064
265.0	0.002436	1.08
270.0	0.002393	1.0959999999999999
275.0	0.00235	1.111
280.0	0.0023079999999999997	1.126
285.0	0.0022670000000000004	1.14
290.0	0.002227	1.153
295.0	0.002188	1.166
300.0	0.002149	1.179
320.0	0.0020050000000000003	1.224
340.0	0.0018739999999999998	1.264
360.0	0.001757	1.3
380.0	0.00165	1.3319999999999999
400.0	0.0015539999999999998	1.36
420.0	0.001467	1.386
440.0	0.0013880000000000001	1.409
460.0	0.0013160000000000001	1.43
480.0	0.00125	1.45
500.0	0.001188	1.4669999999999999
520.0	0.001131	1.483
540.0	0.001078	1.4980000000000002
560.0	0.0010279999999999998	1.5119999999999998
580.0	0.0009811	1.524
600.0	0.0009373	1.536
620.0	0.0008962	1.547
640.0	0.0008579000000000001	1.557
660.0	0.0008219	1.5659999999999998
680.0	0.0007882999999999999	1.575
700.0	0.0007568	1.5830000000000002
720.0	0.0007272	1.591
740.0	0.0006995	1.598
760.0	0.0006734	1.605
780.0	0.0006489	1.611
800.0	0.0006257999999999999	1.617
850.0	0.0005733	1.631
900.0	0.0005273	1.642
950.0	0.0004864	1.652
1000.0	0.00045010000000000004	1.661
1041.0	0.0004231	1.6669999999999998
1050.0	0.0004176	1.6680000000000001
1100.0	0.00038849999999999996	1.675
1150.0	0.0003625	1.681
1200.0	0.0003392	1.686
1250.0	0.00031800000000000003	1.69
1253.6	0.00031660000000000005	1.6909999999999998
1300.0	0.0002989	1.694
1350.0	0.0002815	1.6980000000000002
1400.0	0.0002655	1.7009999999999998
1450.0	0.0002508	1.703
1486.6	0.0002408	1.705
1500.0	0.00023730000000000002	1.705
