Energy [eV]	Cross Section	Asymmetry Parameter
185.0	0.5453	-0.21100000000000002
190.0	0.6672	-0.9035
195.0	0.8007	-0.7874
200.0	0.8506	-0.275
205.0	0.8008	0.2146
210.0	0.7157	0.5935
215.0	0.6252	0.8651
220.0	0.5407	1.032
225.0	0.4678	1.092
230.0	0.4087	1.042
235.0	0.3635	0.8927
240.0	0.3308	0.6629
245.0	0.3091	0.3823
250.0	0.2963	0.08411
255.0	0.2911	-0.2008
260.0	0.2918	-0.4495
265.0	0.2975	-0.6491
270.0	0.307	-0.7964
275.0	0.3194	-0.8947
280.0	0.3341	-0.9513
285.0	0.3504	-0.9743
290.0	0.3678	-0.9714
295.0	0.386	-0.9494
300.0	0.4048	-0.9137
305.0	0.4238	-0.8684
310.0	0.4428	-0.8168
315.0	0.4617	-0.7613
320.0	0.4803	-0.7037
325.0	0.4984	-0.6453
330.0	0.5161	-0.5871
335.0	0.5329999999999999	-0.5298
340.0	0.5493	-0.4737
345.0	0.5648	-0.4193
350.0	0.5796	-0.3666
355.0	0.5935	-0.3158
360.0	0.6068	-0.2668
365.0	0.6193	-0.2196
370.0	0.631	-0.1743
375.0	0.6421	-0.1307
380.0	0.6524	-0.08882000000000001
385.0	0.662	-0.04857
390.0	0.6709999999999999	-0.009890000000000001
395.0	0.6793	0.02727
400.0	0.687	0.06297
405.0	0.6940000000000001	0.09727000000000001
410.0	0.7003	0.1302
415.0	0.7061	0.1619
420.0	0.7113	0.1923
425.0	0.716	0.2216
430.0	0.7201	0.2497
435.0	0.7237	0.2768
440.0	0.7268	0.3029
445.0	0.7295	0.32799999999999996
450.0	0.7318	0.3523
455.0	0.7337	0.3757
460.0	0.7352	0.3983
465.0	0.7363	0.4202
470.0	0.7371	0.4413
475.0	0.7375	0.4617
480.0	0.7376	0.4815
500.0	0.7353	0.5547
520.0	0.7289	0.6193
540.0	0.7194	0.6767
560.0	0.7076	0.7279
580.0	0.6941	0.7739
600.0	0.6791	0.8155
620.0	0.6631	0.8533
640.0	0.6464	0.8876
660.0	0.6293	0.9189
680.0	0.612	0.9475
700.0	0.5946	0.9738
720.0	0.5773	0.998
740.0	0.5601	1.02
760.0	0.5432	1.041
780.0	0.5265	1.06
800.0	0.5103	1.078
850.0	0.4713	1.117
900.0	0.4351	1.15
950.0	0.4016	1.178
1000.0	0.3709	1.2009999999999998
1041.0	0.3476	1.218
1050.0	0.3427	1.2209999999999999
1100.0	0.3169	1.238
1150.0	0.2934	1.253
1200.0	0.2719	1.265
1250.0	0.2523	1.276
1253.6	0.2509	1.2770000000000001
1300.0	0.2344	1.285
1350.0	0.218	1.2930000000000001
1400.0	0.203	1.3
1450.0	0.1892	1.305
1486.6	0.1799	1.3090000000000002
1500.0	0.1766	1.31
