Energy [eV]	Cross Section	Asymmetry Parameter
320.0	0.4045	-0.6478
340.0	0.387	-0.4733
360.0	0.3824	-0.08606
380.0	0.3803	0.2143
400.0	0.3751	0.4316
420.0	0.3693	0.5983
440.0	0.3624	0.7331
460.0	0.3546	0.8420000000000001
480.0	0.3464	0.9312
500.0	0.33799999999999997	1.0070000000000001
520.0	0.3292	1.072
540.0	0.3203	1.127
560.0	0.3114	1.176
580.0	0.3026	1.218
600.0	0.2939	1.256
620.0	0.2854	1.2890000000000001
640.0	0.27699999999999997	1.319
660.0	0.2688	1.3459999999999999
680.0	0.2609	1.37
700.0	0.2532	1.392
720.0	0.2457	1.412
740.0	0.2385	1.43
760.0	0.2315	1.4469999999999998
780.0	0.2248	1.463
800.0	0.2183	1.4769999999999999
850.0	0.203	1.508
900.0	0.18899999999999997	1.534
950.0	0.1763	1.555
1000.0	0.1647	1.5730000000000002
1041.0	0.156	1.5859999999999999
1050.0	0.1541	1.589
1100.0	0.1445	1.6019999999999999
1150.0	0.1356	1.614
1200.0	0.1274	1.624
1250.0	0.12	1.632
1253.6	0.1195	1.633
1300.0	0.1131	1.64
1350.0	0.1067	1.646
1400.0	0.1009	1.652
1450.0	0.09548	1.6569999999999998
1486.6	0.09177	1.66
1500.0	0.09046	1.661
