Energy [eV]	Cross Section	Asymmetry Parameter
400.0	0.1671	2
420.0	0.1619	2
440.0	0.1541	2
460.0	0.146	2
480.0	0.1393	2
500.0	0.1329	2
520.0	0.1267	2
540.0	0.1211	2
560.0	0.1158	2
580.0	0.1108	2
600.0	0.1061	2
620.0	0.1017	2
640.0	0.09755	2
660.0	0.09366000000000001	2
680.0	0.08996	2
700.0	0.08648	2
720.0	0.08319	2
740.0	0.0801	2
760.0	0.07716	2
780.0	0.07438	2
800.0	0.07174	2
850.0	0.06573	2
900.0	0.06044	2
950.0	0.05575	2
1000.0	0.05159	2
1041.0	0.04852	2
1050.0	0.04788	2
1100.0	0.04455	2
1150.0	0.04155	2
1200.0	0.03885	2
1250.0	0.0364	2
1253.6	0.03623	2
1300.0	0.03418	2
1350.0	0.03215	2
1400.0	0.0303	2
1450.0	0.0286	2
1486.6	0.02744	2
1500.0	0.027039999999999998	2
