Energy [eV]	Cross Section	Asymmetry Parameter
10.2	1768000.0	0.7915
15.0	4.022	-0.01461
16.7	4.581	-0.04434
20.0	5.511	0.0006868
21.2	5.789	0.02888
25.0	6.422999999999999	0.1258
26.8	6.59	0.1709
30.0	6.694	0.2466
35.0	6.478	0.3514
40.0	6.013	0.4417
40.8	5.928999999999999	0.455
45.0	5.474	0.5204
50.0	4.945	0.5898
55.0	4.455	0.6519
60.0	4.006	0.7078
65.0	3.597	0.7584
70.0	3.2230000000000003	0.8044
75.0	2.885	0.8461
80.0	2.58	0.8841
85.0	2.3080000000000003	0.9186
90.0	2.0669999999999997	0.95
95.0	1.855	0.9786
100.0	1.669	1.005
105.0	1.506	1.028
110.0	1.3630000000000002	1.05
115.0	1.236	1.07
120.0	1.124	1.088
125.0	1.025	1.104
130.0	0.9358	1.12
132.3	0.8982	1.126
135.0	0.8563	1.1340000000000001
140.0	0.7849	1.146
145.0	0.7207	1.158
150.0	0.6627	1.169
151.4	0.6476	1.172
155.0	0.6105	1.179
160.0	0.5632	1.188
165.0	0.5205	1.196
170.0	0.4818	1.203
175.0	0.4467	1.21
180.0	0.4147	1.216
185.0	0.3857	1.222
190.0	0.3592	1.227
195.0	0.3349	1.2309999999999999
200.0	0.3128	1.236
205.0	0.2924	1.239
210.0	0.2737	1.242
215.0	0.2565	1.245
220.0	0.2407	1.248
225.0	0.226	1.25
230.0	0.2124	1.251
235.0	0.1999	1.253
240.0	0.1883	1.254
245.0	0.1775	1.255
250.0	0.1675	1.256
255.0	0.1581	1.2570000000000001
260.0	0.1495	1.2570000000000001
265.0	0.1414	1.2570000000000001
270.0	0.1339	1.2570000000000001
275.0	0.1269	1.2570000000000001
280.0	0.1203	1.256
285.0	0.1142	1.256
290.0	0.1084	1.255
295.0	0.1031	1.254
300.0	0.09805	1.253
305.0	0.09332	1.252
320.0	0.08079	1.248
340.0	0.0672	1.242
360.0	0.05637	1.234
380.0	0.047639999999999995	1.225
400.0	0.04056	1.216
420.0	0.03476	1.206
440.0	0.02997	1.195
460.0	0.02599	1.1840000000000002
480.0	0.02265	1.173
500.0	0.01983	1.162
520.0	0.01744	1.151
540.0	0.0154	1.139
560.0	0.01365	1.128
580.0	0.01215	1.117
600.0	0.01084	1.105
620.0	0.009713	1.094
640.0	0.008726000000000001	1.083
660.0	0.007861	1.072
680.0	0.0071	1.062
700.0	0.006429000000000001	1.051
720.0	0.005836	1.041
740.0	0.0053100000000000005	1.03
760.0	0.004842	1.02
780.0	0.004424	1.01
800.0	0.00405	1.001
850.0	0.003274	0.977
900.0	0.002676	0.9546
950.0	0.002208	0.9333
1000.0	0.001838	0.9131
1041.0	0.00159	0.8972
1050.0	0.001541	0.8939
1100.0	0.001302	0.8757
1150.0	0.0011070000000000001	0.8584
1200.0	0.0009476	0.8420000000000001
1250.0	0.0008152000000000001	0.8263
1253.6	0.0008066000000000001	0.8252
1300.0	0.000705	0.8114
1350.0	0.0006127000000000001	0.7972
1400.0	0.0005349	0.7836
1450.0	0.00046879999999999996	0.7707
1486.6	0.00042679999999999997	0.7615
1500.0	0.0004127	0.7584
