Energy [eV]	Cross Section	Asymmetry Parameter
50.0	1.801	0.4946
55.0	1.2309999999999999	1.2429999999999999
60.0	0.8701	0.3897
65.0	0.7538	-0.3335
70.0	0.7667	-0.5113
75.0	0.8305	-0.3649
80.0	0.9073	-0.1286
85.0	0.9821	0.1042
90.0	1.048	0.3078
95.0	1.102	0.4804
100.0	1.143	0.6254
105.0	1.173	0.7473
110.0	1.192	0.8502
115.0	1.2	0.9374
120.0	1.2	1.012
125.0	1.193	1.075
130.0	1.181	1.13
132.3	1.1740000000000002	1.153
135.0	1.165	1.178
140.0	1.146	1.219
145.0	1.124	1.256
150.0	1.102	1.288
151.4	1.095	1.297
155.0	1.078	1.317
160.0	1.053	1.3430000000000002
165.0	1.028	1.3659999999999999
170.0	1.003	1.3880000000000001
175.0	0.9771	1.4069999999999998
180.0	0.9515	1.4240000000000002
185.0	0.9259	1.44
190.0	0.9005	1.455
195.0	0.8754	1.469
200.0	0.8507	1.4809999999999999
205.0	0.8265	1.492
210.0	0.8028	1.5030000000000001
215.0	0.7798	1.5130000000000001
220.0	0.7573	1.5219999999999998
225.0	0.7356	1.53
230.0	0.7145	1.538
235.0	0.6941	1.545
240.0	0.6744	1.551
245.0	0.6553	1.557
250.0	0.6368	1.5630000000000002
255.0	0.619	1.568
260.0	0.6017	1.5730000000000002
265.0	0.585	1.578
270.0	0.5688	1.5819999999999999
275.0	0.5531	1.5859999999999999
280.0	0.5379	1.589
285.0	0.5232	1.5919999999999999
290.0	0.5089	1.5959999999999999
295.0	0.4951	1.598
300.0	0.4818	1.601
305.0	0.4689	1.604
310.0	0.4564	1.6059999999999999
315.0	0.4443	1.608
320.0	0.4326	1.61
325.0	0.4213	1.6119999999999999
330.0	0.4103	1.6130000000000002
335.0	0.3998	1.615
340.0	0.3895	1.6159999999999999
345.0	0.3797	1.618
360.0	0.3519	1.621
380.0	0.3189	1.6230000000000002
400.0	0.2897	1.625
420.0	0.2638	1.625
440.0	0.2408	1.624
460.0	0.2204	1.6230000000000002
480.0	0.2022	1.621
500.0	0.1859	1.619
520.0	0.1713	1.6159999999999999
540.0	0.1582	1.6119999999999999
560.0	0.1463	1.609
580.0	0.1356	1.605
600.0	0.1259	1.601
620.0	0.11699999999999999	1.597
640.0	0.109	1.5919999999999999
660.0	0.1017	1.588
680.0	0.09505	1.5830000000000002
700.0	0.08893999999999999	1.578
720.0	0.08334	1.5730000000000002
740.0	0.07819	1.568
760.0	0.07345	1.5630000000000002
780.0	0.06907999999999999	1.558
800.0	0.06505	1.5530000000000002
850.0	0.05624	1.54
900.0	0.04895	1.527
950.0	0.042839999999999996	1.514
1000.0	0.0377	1.501
1041.0	0.03408	1.4909999999999999
1050.0	0.03335	1.4880000000000002
1100.0	0.02963	1.476
1150.0	0.026439999999999998	1.463
1200.0	0.02368	1.4509999999999998
1250.0	0.02129	1.4380000000000002
1253.6	0.02113	1.4369999999999998
1300.0	0.019209999999999998	1.426
1350.0	0.01739	1.4140000000000001
1400.0	0.015780000000000002	1.403
1450.0	0.014369999999999999	1.391
1486.6	0.013430000000000001	1.383
1500.0	0.01311	1.38
