Energy [eV]	Cross Section	Asymmetry Parameter
50.0	3.3930000000000002	1.912
55.0	2.494	1.986
60.0	1.754	1.8969999999999998
65.0	1.2429999999999999	1.725
70.0	0.9079	1.496
75.0	0.6896	1.229
80.0	0.5452	0.9482
85.0	0.4476	0.6744
90.0	0.3805	0.4264
95.0	0.3337	0.2185
100.0	0.3008	0.05895
105.0	0.2775	-0.0507
110.0	0.2608	-0.1145
115.0	0.2488	-0.1401
120.0	0.2399	-0.1363
125.0	0.2331	-0.1114
130.0	0.2278	-0.07232000000000001
132.3	0.2256	-0.05108
135.0	0.2234	-0.02429
140.0	0.2196	0.028919999999999998
145.0	0.2163	0.08474
150.0	0.2132	0.1415
151.4	0.2124	0.1574
155.0	0.2103	0.198
160.0	0.2075	0.2536
165.0	0.2048	0.3077
170.0	0.2022	0.36
175.0	0.1995	0.4105
180.0	0.1969	0.4587
185.0	0.1943	0.5048
190.0	0.1916	0.5487
195.0	0.18899999999999997	0.5903
200.0	0.1864	0.6298
205.0	0.1838	0.6672
210.0	0.1811	0.7025
215.0	0.1785	0.736
220.0	0.1759	0.7677
225.0	0.1734	0.7978
230.0	0.1708	0.8263
235.0	0.1683	0.8534
240.0	0.1658	0.8793
245.0	0.1633	0.904
250.0	0.1609	0.9275
255.0	0.1584	0.9501
260.0	0.1561	0.9717
265.0	0.1537	0.9924
270.0	0.1514	1.012
275.0	0.1491	1.031
280.0	0.1469	1.05
285.0	0.1447	1.067
290.0	0.1425	1.084
295.0	0.1404	1.1
300.0	0.1382	1.1159999999999999
305.0	0.1362	1.131
310.0	0.1341	1.145
315.0	0.1322	1.159
320.0	0.1302	1.173
325.0	0.1283	1.186
330.0	0.1264	1.198
335.0	0.1246	1.21
340.0	0.1228	1.2209999999999999
345.0	0.121	1.2329999999999999
360.0	0.1159	1.264
380.0	0.1095	1.301
400.0	0.1036	1.334
420.0	0.0982	1.364
440.0	0.09316	1.391
460.0	0.08847999999999999	1.4140000000000001
480.0	0.08415	1.436
500.0	0.08012999999999999	1.455
520.0	0.07639	1.473
540.0	0.07291	1.489
560.0	0.06966	1.504
580.0	0.06662	1.518
600.0	0.06377999999999999	1.531
620.0	0.06112000000000001	1.5419999999999998
640.0	0.058620000000000005	1.5530000000000002
660.0	0.05628	1.5630000000000002
680.0	0.054079999999999996	1.5719999999999998
700.0	0.052000000000000005	1.581
720.0	0.05004	1.589
740.0	0.0482	1.5959999999999999
760.0	0.04645	1.6030000000000002
780.0	0.0448	1.61
800.0	0.04324	1.6159999999999999
850.0	0.03967	1.63
900.0	0.03653	1.641
950.0	0.03375	1.651
1000.0	0.03128	1.66
1041.0	0.02945	1.666
1050.0	0.02907	1.6669999999999998
1100.0	0.027089999999999996	1.6740000000000002
1150.0	0.0253	1.679
1200.0	0.02368	1.6840000000000002
1250.0	0.02221	1.6880000000000002
1253.6	0.022109999999999998	1.689
1300.0	0.02087	1.692
1350.0	0.01965	1.695
1400.0	0.01853	1.6980000000000002
1450.0	0.0175	1.7
1486.6	0.0168	1.7009999999999998
1500.0	0.01656	1.702
