Energy [eV]	Cross Section	Asymmetry Parameter
15.0	50.65	1.525
16.71	31.96	1.655
20.0	14.69	1.79
21.22	11.42	1.814
25.0	5.79	1.821
26.86	4.34	1.7919999999999998
30.0	2.815	1.703
35.0	1.578	1.474
40.0	0.9842	1.169
40.81	0.9197	1.115
45.0	0.6706	0.8277
50.0	0.4933	0.5002
55.0	0.3879	0.2294
60.0	0.3224	0.039580000000000004
65.0	0.2799	-0.06761
70.0	0.251	-0.1062
75.0	0.2303	-0.09556
80.0	0.2146	-0.05347999999999999
85.0	0.2021	0.006691
90.0	0.1918	0.07593
95.0	0.1829	0.1487
100.0	0.1751	0.2216
105.0	0.1681	0.2929
110.0	0.1618	0.3617
115.0	0.1559	0.4274
120.0	0.1506	0.4899
125.0	0.1456	0.5491
130.0	0.1409	0.605
132.3	0.1388	0.6296
135.0	0.1365	0.6576
140.0	0.1324	0.7072
145.0	0.1285	0.7537
150.0	0.1248	0.7974
151.4	0.1238	0.8091
155.0	0.1213	0.8383
160.0	0.1179	0.8766
165.0	0.1148	0.9125
170.0	0.1118	0.9461
175.0	0.1089	0.9777
180.0	0.1061	1.0070000000000001
185.0	0.1035	1.035
190.0	0.10099999999999999	1.061
195.0	0.09861	1.0859999999999999
200.0	0.09631	1.11
205.0	0.09409	1.1320000000000001
210.0	0.09196	1.153
215.0	0.08991	1.173
220.0	0.08793	1.192
225.0	0.08602	1.21
230.0	0.08416	1.228
235.0	0.08237	1.244
240.0	0.08063	1.26
245.0	0.07893	1.275
250.0	0.07729	1.29
255.0	0.0757	1.304
260.0	0.07414	1.317
265.0	0.07264	1.33
270.0	0.07117000000000001	1.3419999999999999
275.0	0.06974	1.354
280.0	0.06835	1.365
285.0	0.067	1.376
290.0	0.06569	1.386
295.0	0.06442	1.396
300.0	0.06318	1.405
305.0	0.061970000000000004	1.4140000000000001
310.0	0.0608	1.423
320.0	0.05855	1.44
340.0	0.05441	1.469
360.0	0.0507	1.495
380.0	0.04736	1.518
400.0	0.04434	1.538
420.0	0.0416	1.556
440.0	0.03912	1.571
460.0	0.03687	1.585
480.0	0.03481	1.598
500.0	0.03292	1.609
520.0	0.031180000000000003	1.619
540.0	0.02957	1.629
560.0	0.02808	1.6369999999999998
580.0	0.02669	1.6440000000000001
600.0	0.0254	1.651
620.0	0.0242	1.6569999999999998
640.0	0.02307	1.663
660.0	0.022019999999999998	1.6680000000000001
680.0	0.02103	1.672
700.0	0.02011	1.676
720.0	0.01924	1.68
740.0	0.018430000000000002	1.683
760.0	0.01766	1.686
780.0	0.01694	1.689
800.0	0.01626	1.692
850.0	0.014740000000000001	1.6969999999999998
900.0	0.01341	1.7009999999999998
950.0	0.01225	1.704
1000.0	0.01122	1.706
1041.0	0.01047	1.7069999999999999
1050.0	0.010320000000000001	1.7069999999999999
1100.0	0.009511	1.7080000000000002
1150.0	0.008790000000000001	1.7080000000000002
1200.0	0.008145	1.7069999999999999
1250.0	0.007567	1.7069999999999999
1253.6	0.007527	1.7069999999999999
1300.0	0.007045	1.706
1350.0	0.006573999999999999	1.704
1400.0	0.006147	1.703
1450.0	0.005759	1.7009999999999998
1486.6	0.005495	1.699
1500.0	0.005403	1.699
