Energy [eV]	Cross Section	Asymmetry Parameter
175.0	0.3963	1.567
180.0	0.8035	1.8719999999999999
185.0	1.56	1.25
190.0	2.2969999999999997	0.7709
195.0	2.955	0.4909
200.0	3.5189999999999997	0.3329
205.0	3.951	0.2474
210.0	4.253	0.2063
215.0	4.462	0.1933
220.0	4.614	0.1982
225.0	4.7330000000000005	0.2145
230.0	4.827	0.2378
235.0	4.897	0.2652
240.0	4.9430000000000005	0.2947
245.0	4.9639999999999995	0.3252
250.0	4.962	0.3558
255.0	4.941	0.386
260.0	4.906000000000001	0.4157
265.0	4.86	0.4446
270.0	4.806	0.4727
275.0	4.747	0.4999
280.0	4.6819999999999995	0.5263
285.0	4.613	0.5518
290.0	4.54	0.5764
295.0	4.462	0.6
300.0	4.381	0.6227
305.0	4.298	0.6444
310.0	4.212	0.6653
315.0	4.125	0.6852
320.0	4.037	0.7043
325.0	3.95	0.7225
330.0	3.863	0.74
335.0	3.7769999999999997	0.7568
340.0	3.6919999999999997	0.773
345.0	3.609	0.7885
350.0	3.5260000000000002	0.8034
355.0	3.445	0.8178
360.0	3.365	0.8316
365.0	3.286	0.845
370.0	3.2089999999999996	0.8578
375.0	3.1319999999999997	0.8702
380.0	3.0580000000000003	0.8821
385.0	2.984	0.8936
390.0	2.912	0.9047
395.0	2.842	0.9153
400.0	2.773	0.9256
405.0	2.7060000000000004	0.9355
410.0	2.641	0.945
415.0	2.5780000000000003	0.9542
420.0	2.516	0.9631
425.0	2.456	0.9716
430.0	2.397	0.9799
435.0	2.34	0.9879
440.0	2.2840000000000003	0.9956
445.0	2.23	1.003
450.0	2.177	1.01
455.0	2.126	1.0170000000000001
460.0	2.076	1.024
465.0	2.0269999999999997	1.031
480.0	1.8880000000000001	1.0490000000000002
500.0	1.72	1.071
520.0	1.57	1.09
540.0	1.435	1.107
560.0	1.314	1.122
580.0	1.205	1.135
600.0	1.1079999999999999	1.146
620.0	1.0190000000000001	1.157
640.0	0.9401	1.165
660.0	0.8683	1.173
680.0	0.8032	1.18
700.0	0.7441	1.186
720.0	0.6904	1.1909999999999998
740.0	0.6415	1.195
760.0	0.5969	1.199
780.0	0.5562	1.202
800.0	0.5189	1.205
850.0	0.4385	1.209
900.0	0.3732	1.2109999999999999
950.0	0.3197	1.2109999999999999
1000.0	0.2755	1.21
1041.0	0.2449	1.207
1050.0	0.2388	1.207
1100.0	0.20800000000000002	1.203
1150.0	0.182	1.198
1200.0	0.16	1.192
1250.0	0.1412	1.186
1253.6	0.14	1.186
1300.0	0.1252	1.18
1350.0	0.1113	1.173
1400.0	0.09933	1.166
1450.0	0.08893	1.158
1486.6	0.08217	1.153
1500.0	0.07985	1.151
