Energy [eV]	Cross Section	Asymmetry Parameter
320.0	0.7047	-0.04612
340.0	0.6938	0.3269
360.0	0.6891	0.601
380.0	0.6741	0.7896
400.0	0.6585	0.9286
420.0	0.6401	1.038
440.0	0.6192	1.123
460.0	0.5982	1.192
480.0	0.5771	1.248
500.0	0.5555	1.295
520.0	0.5338	1.335
540.0	0.5128	1.369
560.0	0.4925	1.3980000000000001
580.0	0.4727	1.423
600.0	0.4534	1.445
620.0	0.4349	1.464
640.0	0.4172	1.4809999999999999
660.0	0.4004	1.496
680.0	0.3842	1.5090000000000001
700.0	0.3688	1.521
720.0	0.354	1.531
740.0	0.3399	1.541
760.0	0.3266	1.5490000000000002
780.0	0.3138	1.556
800.0	0.3017	1.5630000000000002
850.0	0.2738	1.5759999999999998
900.0	0.2492	1.587
950.0	0.2273	1.594
1000.0	0.2078	1.6
1041.0	0.1934	1.6030000000000002
1050.0	0.1905	1.604
1100.0	0.175	1.6059999999999999
1150.0	0.1611	1.608
1200.0	0.1486	1.608
1250.0	0.1374	1.608
1253.6	0.1366	1.608
1300.0	0.1273	1.607
1350.0	0.1181	1.605
1400.0	0.1098	1.604
1450.0	0.1022	1.601
1486.6	0.0971	1.599
1500.0	0.09532	1.599
