Energy [eV]	Cross Section	Asymmetry Parameter
10.2	0.05952	2
15.0	0.1405	2
16.7	0.149	2
20.0	0.1529	2
21.2	0.1521	2
25.0	0.1456	2
26.8	0.1414	2
30.0	0.1333	2
35.0	0.1203	2
40.0	0.1077	2
40.8	0.1058	2
45.0	0.09622	2
50.0	0.08594	2
55.0	0.07693	2
60.0	0.06913	2
65.0	0.06242	2
70.0	0.05665	2
75.0	0.05167000000000001	2
80.0	0.04735	2
85.0	0.0436	2
90.0	0.0403	2
95.0	0.03739	2
100.0	0.03482	2
105.0	0.03253	2
110.0	0.03048	2
115.0	0.02864	2
120.0	0.026989999999999997	2
125.0	0.025490000000000002	2
130.0	0.02414	2
132.3	0.02356	2
135.0	0.0229	2
140.0	0.021769999999999998	2
145.0	0.020730000000000002	2
150.0	0.01977	2
151.4	0.01952	2
155.0	0.01888	2
160.0	0.01805	2
165.0	0.017269999999999997	2
170.0	0.01654	2
175.0	0.01586	2
180.0	0.01521	2
185.0	0.0146	2
190.0	0.01402	2
195.0	0.01347	2
200.0	0.01296	2
205.0	0.01247	2
210.0	0.012	2
215.0	0.011559999999999999	2
220.0	0.01115	2
225.0	0.01075	2
230.0	0.01038	2
235.0	0.010029999999999999	2
240.0	0.00969	2
245.0	0.009370999999999999	2
250.0	0.009067	2
255.0	0.008778	2
260.0	0.008503	2
265.0	0.008242	2
270.0	0.007993	2
275.0	0.007755	2
280.0	0.007529000000000001	2
285.0	0.007312000000000001	2
290.0	0.007106	2
295.0	0.006909	2
300.0	0.0067209999999999995	2
305.0	0.006542	2
320.0	0.006047	2
340.0	0.005478	2
360.0	0.00499	2
380.0	0.004565	2
400.0	0.004193	2
420.0	0.0038640000000000002	2
440.0	0.003572	2
460.0	0.0033130000000000004	2
480.0	0.003081	2
500.0	0.002874	2
520.0	0.002688	2
540.0	0.00252	2
560.0	0.002369	2
580.0	0.002232	2
600.0	0.002107	2
620.0	0.001993	2
640.0	0.001888	2
660.0	0.001791	2
680.0	0.001702	2
700.0	0.0016190000000000002	2
720.0	0.001541	2
740.0	0.00147	2
760.0	0.001403	2
780.0	0.001341	2
800.0	0.001283	2
850.0	0.001153	2
900.0	0.001044	2
950.0	0.0009494	2
1000.0	0.0008673999999999999	2
1041.0	0.0008077999999999999	2
1050.0	0.0007955	2
1100.0	0.0007321000000000001	2
1150.0	0.0006761	2
1200.0	0.0006263	2
1250.0	0.0005819	2
1253.6	0.0005788999999999999	2
1300.0	0.0005422000000000001	2
1350.0	0.0005064000000000001	2
1400.0	0.00047410000000000003	2
1450.0	0.0004446000000000001	2
1486.6	0.0004249	2
1500.0	0.0004178	2
