Energy [eV]	Cross Section	Asymmetry Parameter
35.0	9.963	1.746
40.0	5.586	1.8780000000000001
40.81	5.119	1.886
45.0	3.327	1.889
50.0	2.081	1.82
55.0	1.368	1.682
60.0	0.9459	1.484
65.0	0.6866	1.24
70.0	0.5222	0.9673
75.0	0.4152	0.6905
80.0	0.3443	0.4347
85.0	0.2965	0.2206
90.0	0.2639	0.059660000000000005
95.0	0.2411	-0.04684
100.0	0.225	-0.1051
105.0	0.2131	-0.1246
110.0	0.2042	-0.1154
115.0	0.1971	-0.08603
120.0	0.1915	-0.04308
125.0	0.1867	0.008440999999999999
130.0	0.1825	0.06497
132.3	0.1808	0.0919
135.0	0.1788	0.1239
140.0	0.1754	0.1835
145.0	0.1722	0.2425
150.0	0.1692	0.2999
151.4	0.1684	0.3156
155.0	0.1663	0.3553
160.0	0.1635	0.4082
165.0	0.1608	0.4586
170.0	0.1581	0.5064
175.0	0.1554	0.5516
180.0	0.1528	0.5944
185.0	0.1503	0.6349
190.0	0.1477	0.6732
195.0	0.1453	0.7096
200.0	0.1428	0.7441
205.0	0.1404	0.7769
210.0	0.138	0.8079999999999999
215.0	0.1357	0.8377
220.0	0.1334	0.866
225.0	0.1312	0.8929
230.0	0.129	0.9186
235.0	0.1268	0.943
240.0	0.1247	0.9663
245.0	0.1226	0.9886
250.0	0.1206	1.01
255.0	0.1186	1.03
260.0	0.1166	1.0490000000000002
265.0	0.1147	1.068
270.0	0.1128	1.0859999999999999
275.0	0.111	1.103
280.0	0.1092	1.119
285.0	0.1074	1.135
290.0	0.1057	1.15
295.0	0.1041	1.1640000000000001
300.0	0.1024	1.178
305.0	0.1008	1.192
310.0	0.09926	1.205
315.0	0.09773	1.217
320.0	0.09623	1.229
325.0	0.09476	1.2409999999999999
330.0	0.09332	1.252
340.0	0.09054	1.274
360.0	0.08532000000000001	1.3119999999999998
380.0	0.08052999999999999	1.3459999999999999
400.0	0.07614	1.376
420.0	0.07209	1.403
440.0	0.06835	1.4280000000000002
460.0	0.0649	1.449
480.0	0.0617	1.469
500.0	0.05874	1.4869999999999999
520.0	0.05599	1.5030000000000001
540.0	0.05343	1.518
560.0	0.051039999999999995	1.531
580.0	0.04881	1.544
600.0	0.04672	1.555
620.0	0.04477	1.5659999999999998
640.0	0.04293	1.575
660.0	0.041210000000000004	1.584
680.0	0.03959	1.5930000000000002
700.0	0.03807	1.601
720.0	0.03663	1.608
740.0	0.035269999999999996	1.615
760.0	0.03399	1.621
780.0	0.03277	1.6269999999999998
800.0	0.03163	1.632
850.0	0.028999999999999998	1.6440000000000001
900.0	0.02669	1.655
950.0	0.02465	1.663
1000.0	0.02283	1.671
1041.0	0.021480000000000003	1.676
1050.0	0.0212	1.6769999999999998
1100.0	0.01973	1.683
1150.0	0.01842	1.6880000000000002
1200.0	0.01722	1.6909999999999998
1250.0	0.01614	1.695
1253.6	0.016059999999999998	1.695
1300.0	0.01515	1.6980000000000002
1350.0	0.01425	1.7
1400.0	0.013430000000000001	1.702
1450.0	0.01267	1.704
1486.6	0.01215	1.705
1500.0	0.01197	1.705
