Energy [eV]	Cross Section	Asymmetry Parameter
60.0	0.2903	2
80.0	0.281	2
100.0	0.2425	2
120.0	0.2037	2
132.3	0.1837	2
140.0	0.1725	2
151.4	0.1574	2
160.0	0.1471	2
180.0	0.1266	2
200.0	0.1101	2
220.0	0.09669	2
240.0	0.0856	2
260.0	0.07633	2
280.0	0.06855	2
300.0	0.061970000000000004	2
320.0	0.05632	2
340.0	0.05143	2
360.0	0.04718	2
380.0	0.043460000000000006	2
400.0	0.04018	2
420.0	0.03728	2
440.0	0.03469	2
460.0	0.03238	2
480.0	0.0303	2
500.0	0.028419999999999997	2
520.0	0.026719999999999997	2
540.0	0.02518	2
560.0	0.02377	2
580.0	0.02248	2
600.0	0.02129	2
620.0	0.0202	2
640.0	0.0192	2
660.0	0.018269999999999998	2
680.0	0.01741	2
700.0	0.01662	2
720.0	0.01587	2
740.0	0.01518	2
760.0	0.01454	2
780.0	0.013930000000000001	2
800.0	0.013369999999999998	2
850.0	0.0121	2
900.0	0.011009999999999999	2
950.0	0.01006	2
1000.0	0.009238	2
1041.0	0.008636	2
1050.0	0.008512	2
1100.0	0.00787	2
1150.0	0.0073	2
1200.0	0.006790000000000001	2
1250.0	0.006333	2
1253.6	0.006302	2
1300.0	0.005922	2
1350.0	0.005549	2
1400.0	0.005212	2
1450.0	0.004905	2
1486.6	0.004696	2
1500.0	0.0046229999999999995	2
