Energy [eV]	Cross Section	Asymmetry Parameter
100.0	0.5403	0.6247
105.0	0.4673	0.1237
110.0	0.4347	-0.3267
115.0	0.4326	-0.5660000000000001
120.0	0.4499	-0.6032
125.0	0.4777	-0.5158
130.0	0.5102	-0.3721
132.3	0.5258	-0.2989
135.0	0.5441	-0.2119
140.0	0.5774	-0.054689999999999996
145.0	0.6091	0.09157
150.0	0.6384	0.2244
151.4	0.6462	0.2591
155.0	0.6651	0.3437
160.0	0.6889	0.4505
165.0	0.7097	0.5459
170.0	0.7275	0.6312
175.0	0.7423	0.7076
180.0	0.7542	0.7761
185.0	0.7635	0.8378
190.0	0.7703	0.8933
195.0	0.7748	0.9434
200.0	0.7773	0.9887
205.0	0.7779	1.03
210.0	0.777	1.067
215.0	0.7748	1.101
220.0	0.7714	1.133
225.0	0.767	1.161
230.0	0.7618	1.188
235.0	0.7559	1.212
240.0	0.7494	1.234
245.0	0.7424	1.255
250.0	0.7349	1.274
255.0	0.7271	1.2930000000000001
260.0	0.7190000000000001	1.3090000000000002
265.0	0.7106	1.325
270.0	0.7019	1.34
275.0	0.693	1.354
280.0	0.684	1.367
285.0	0.6748	1.379
290.0	0.6655	1.391
295.0	0.6561	1.402
300.0	0.6467	1.412
305.0	0.6372	1.422
310.0	0.6277	1.432
315.0	0.6182	1.44
320.0	0.6087	1.449
325.0	0.5993	1.4569999999999999
330.0	0.5899	1.464
335.0	0.5806	1.4709999999999999
340.0	0.5714	1.4780000000000002
345.0	0.5623	1.485
350.0	0.5533	1.4909999999999999
355.0	0.5444	1.4969999999999999
360.0	0.5357	1.5019999999999998
365.0	0.527	1.508
370.0	0.5186	1.5130000000000001
375.0	0.5102	1.518
380.0	0.502	1.5219999999999998
385.0	0.4939	1.527
390.0	0.486	1.531
400.0	0.4705	1.5390000000000001
420.0	0.4411	1.5519999999999998
440.0	0.4136	1.564
460.0	0.3881	1.5730000000000002
480.0	0.3643	1.5819999999999999
500.0	0.3422	1.588
520.0	0.3217	1.594
540.0	0.3027	1.599
560.0	0.2851	1.6019999999999999
580.0	0.2688	1.605
600.0	0.2537	1.608
620.0	0.2396	1.61
640.0	0.2265	1.611
660.0	0.2143	1.6119999999999999
680.0	0.2029	1.6119999999999999
700.0	0.1923	1.6130000000000002
720.0	0.1824	1.6119999999999999
740.0	0.1731	1.6119999999999999
760.0	0.1645	1.611
780.0	0.1564	1.611
800.0	0.1488	1.609
850.0	0.1318	1.6059999999999999
900.0	0.1173	1.6019999999999999
950.0	0.1047	1.597
1000.0	0.09391000000000001	1.591
1041.0	0.0861	1.5859999999999999
1050.0	0.08451	1.585
1100.0	0.0763	1.579
1150.0	0.0691	1.5719999999999998
1200.0	0.06277	1.565
1250.0	0.057179999999999995	1.558
1253.6	0.0568	1.557
1300.0	0.05222	1.551
1350.0	0.047810000000000005	1.544
1400.0	0.04388	1.536
1450.0	0.04036	1.5290000000000001
1486.6	0.03802	1.5230000000000001
1500.0	0.0372	1.521
