Energy [eV]	Cross Section	Asymmetry Parameter
135.0	0.3324	2
140.0	0.3132	2
145.0	0.3009	2
150.0	0.2926	2
151.4	0.2908	2
155.0	0.2868	2
160.0	0.2824	2
165.0	0.2789	2
170.0	0.2758	2
175.0	0.2728	2
180.0	0.2697	2
185.0	0.2664	2
190.0	0.2628	2
195.0	0.259	2
200.0	0.2549	2
205.0	0.2507	2
210.0	0.2463	2
215.0	0.2418	2
220.0	0.2372	2
225.0	0.2326	2
230.0	0.228	2
235.0	0.2235	2
240.0	0.21899999999999997	2
245.0	0.2147	2
250.0	0.2104	2
255.0	0.2063	2
260.0	0.2023	2
265.0	0.1984	2
270.0	0.1946	2
275.0	0.1909	2
280.0	0.1872	2
285.0	0.1837	2
290.0	0.1803	2
295.0	0.1769	2
300.0	0.1736	2
305.0	0.1704	2
310.0	0.1673	2
315.0	0.1642	2
320.0	0.1612	2
325.0	0.1583	2
330.0	0.1554	2
335.0	0.1526	2
340.0	0.1498	2
345.0	0.1471	2
350.0	0.1445	2
355.0	0.1419	2
360.0	0.1394	2
365.0	0.13699999999999998	2
370.0	0.1346	2
375.0	0.1323	2
380.0	0.13	2
385.0	0.1278	2
390.0	0.1256	2
395.0	0.1235	2
400.0	0.1214	2
405.0	0.1194	2
410.0	0.1175	2
415.0	0.1155	2
420.0	0.1137	2
425.0	0.1119	2
430.0	0.1101	2
440.0	0.1066	2
460.0	0.1002	2
480.0	0.09435	2
500.0	0.08893999999999999	2
520.0	0.08396	2
540.0	0.07937000000000001	2
560.0	0.07514	2
580.0	0.07123	2
600.0	0.06762	2
620.0	0.06427999999999999	2
640.0	0.06117	2
660.0	0.05828	2
680.0	0.05558	2
700.0	0.05306	2
720.0	0.0507	2
740.0	0.04849	2
760.0	0.046419999999999996	2
780.0	0.04448	2
800.0	0.04265	2
850.0	0.03854	2
900.0	0.03499	2
950.0	0.0319	2
1000.0	0.02918	2
1041.0	0.0272	2
1050.0	0.026789999999999998	2
1100.0	0.02468	2
1150.0	0.0228	2
1200.0	0.02112	2
1250.0	0.01961	2
1253.6	0.01951	2
1300.0	0.01826	2
1350.0	0.01703	2
1400.0	0.01593	2
1450.0	0.01492	2
1486.6	0.014240000000000001	2
1500.0	0.013999999999999999	2
