Energy [eV]	Cross Section	Asymmetry Parameter
60.0	0.319	2
80.0	0.31	2
100.0	0.2826	2
120.0	0.2424	2
132.3	0.2203	2
140.0	0.2078	2
151.4	0.1907	2
160.0	0.1789	2
180.0	0.1547	2
200.0	0.1347	2
220.0	0.1184	2
240.0	0.1049	2
260.0	0.09344	2
280.0	0.08375	2
300.0	0.07551000000000001	2
320.0	0.06846000000000001	2
340.0	0.062360000000000006	2
360.0	0.05704	2
380.0	0.05239	2
400.0	0.04829	2
420.0	0.04467	2
440.0	0.04144	2
460.0	0.038560000000000004	2
480.0	0.03598	2
500.0	0.03365	2
520.0	0.03155	2
540.0	0.029639999999999996	2
560.0	0.02791	2
580.0	0.026330000000000003	2
600.0	0.024880000000000003	2
620.0	0.02355	2
640.0	0.02232	2
660.0	0.02119	2
680.0	0.02015	2
700.0	0.019190000000000002	2
720.0	0.01829	2
740.0	0.01746	2
760.0	0.01668	2
780.0	0.01595	2
800.0	0.015280000000000002	2
850.0	0.01376	2
900.0	0.01247	2
950.0	0.01135	2
1000.0	0.01038	2
1041.0	0.00967	2
1050.0	0.009525	2
1100.0	0.008775	2
1150.0	0.008111	2
1200.0	0.007520000000000001	2
1250.0	0.006993000000000001	2
1253.6	0.006957	2
1300.0	0.006517	2
1350.0	0.006089	2
1400.0	0.0057020000000000005	2
1450.0	0.00535	2
1486.6	0.005113	2
1500.0	0.00503	2
